date,type,category,description,amount
2024-03-15,expense,Software & Subscriptions,Legal retainer fee,8448.81
2020-07-31,revenue,Affiliate / Referral Revenue,Enterprise agreement,8959.71
2025-12-14,revenue,Online / Digital Sales,Enterprise agreement,1168.96
2025-09-18,revenue,Other Revenue,Online store order,TBD
2024-10-04,expense,Other Expense,Conference registration,"$13,348.49"
2026-04-13,expense,Professional Services (Legal/Accounting),Travel & lodging,2817.55
2022-08-10,revenue,Online / Digital Sales,Monthly subscription charge,
2020-09-11,revenue,Affiliate / Referral Revenue,Q1 client invoice,12288.92
2025-01-07,revenue,,Referral commission,8590.78
2020-08-11,revenue,Subscription Income,Product bundle sale,24462.99
2023-10-27,revenue,Product Sales,Product bundle sale,2480.46
2025-12-03,revenue,Affiliate / Referral Revenue,Retainer fee,N/A
2022/03/10,expense,Cost of Goods Sold (COGS),Google Ads campaign,1993.69
2025-08-18,expense,Rent / Office Space,Google Ads campaign,6286.14
2023-07-02,Rev,Other Expense,Printing & postage,6865.63
2027-01-18,revenue,Service Revenue,Enterprise agreement,21714.06
2023-01-24,expense,Software & Subscriptions,Contractor payment,"$8,790.31"
2021-03-10,revenue,Online / Digital Sales,Monthly subscription charge,6863.07
2021-04-02,revenue,Affiliate / Referral Revenue,License renewal,2114.86
2024-04-29,revenue,Product Sales,License renewal,20808.59
2024-10-24,revenue,Other Revenue,Retainer fee,18958.47
2020-08-12,revenue,Consulting / Retainers,,15155.7
2015-02-07,expense,Software & Subscriptions,Monthly payroll,4127.77
2025-07-29,expense,Marketing & Advertising,Office rent payment,1531.98
2022-03-21,expense,Professional Services (Legal/Accounting),Accounting services,14101.79
2022-06-11,revenue,Subscription Income,  Project milestone payment  ,24364.09
2021-04-02,revenue,Other Revenue,Product bundle sale,3908.75
2021-07-18,expense,Other Expense,Google Ads campaign,4636.55
2022-04-19,expense,Salaries & Wages,Accounting services,518.23
2024-03-18,revenue,Other Revenue,Wholesale shipment,"$4,044.44"
2024-04-03,revenue,Subscription Income,Monthly subscription charge,2542.39
2023-03-10,revenue,Online / Digital Sales,Consulting engagement,13598.62
2023-08-04,revenue,Consulting / Retainers,License renewal,17881.17
2021-04-05,expense,Other Expense,Contractor payment,1886.13
2024-10-25,Exp,Consulting / Retainers,Annual subscription,18900.69
2022-09-29,revenue,Consulting / Retainers,License renewal,12396.35
2023-01-05,revenue,Wages,Digital download sale,5732.05
2021-10-01,revenue,,Q1 client invoice,22865.37
2024-07-05,expense,Cost of Goods Sold (COGS),Monthly payroll,10675.24
2022-08-06,expense,Software & Subscriptions,Utilities bill,-3815.18
2024-05-28,revenue,Other Revenue,Affiliate payout received,22669.01
2023-01-04,expense,Subscription,Software license renewal,13975.69
2020-06-15,revenue,Service Revenue,Product bundle sale,16076.26
2021-08-23,expense,Professional Services (Legal/Accounting),Utilities bill,9390.03
2022-01-06,revenue,Service Revenue,Online store order,-15471.5
2021-06-06,revenue,Subscription Income,Monthly subscription charge,11350.37
2023-12-12,revenue,Consulting / Retainers,Service contract payment,18189.33
2020-12-03,revenue,Software,Wholesale shipment,21618.64
2020-09-15,expense,Other Expense,Equipment purchase,-10586.48
2020-07-08,revenue,Wholesale Revenue,Annual subscription,11155.49
2023-05-18,expense,Cost of Goods Sold (COGS),Software license renewal,7500.82
2024-09-30,expense,Marketing & Advertising,Accounting services,9312.87
2020-09-18,revenue,Product Sales,,21957.24
2022-09-24,expense,Software & Subscriptions,Printing & postage,5787.81
2025-05-31,expense,Cost of Goods Sold (COGS),AWS hosting bill,
2023-06-27,expense,Other Expense,Office rent payment,1661.81
2025-11-16,Revenue,Service Revenue,Project milestone payment,2153.56
2023-03-07,revenue,Wholesale Revenue,Enterprise agreement,-358.51
2023-10-04,expense,Cost of Goods Sold (COGS),Equipment purchase,"$8,870.98"
2020/05/22,expense,Software & Subscriptions,Software license renewal,14821.45
08/05/2025,expense,Other Expense,Contractor payment,8412.08
2024-03-02,expense,Cost of Goods Sold (COGS),Contractor payment,-6920.9
12/27/2023,revenue,Affiliate / Referral Revenue,Monthly subscription charge,4598.16
2021-02-17,revenue,Product Sales,Consulting engagement,24807.91
2023-05-04,revenue,Subscription Income,Online store order,4605.15
2022-05-10,expense,Subscription,Software license renewal,774.33
2025-08-03,revenue,Online / Digital Sales,Referral commission,(22992.11)
2021-02-06,revenue,Wholesale Revenue,Annual subscription,TBD
2023-05-25,expense,Professional Services (Legal/Accounting),Google Ads campaign,"$8,637.42"
25/06/2023,expense,Professional Services (Legal/Accounting),Google Ads campaign,4739.25
2024-12-13,revenue,Service Revenue,Online store order,7584.98
2020-04-14,revenue,Product Sales,Project milestone payment,23209.35
2023-10-14,expense,,Legal retainer fee,9235.6
2022-10-04,revenue,Other Revenue,Q1 client invoice,
2025-02-23,expense,Cost of Goods Sold (COGS),Insurance premium,13610.09
2020-01-04,revenue,Affiliate / Referral Revenue,Retainer fee,"$21,409.63"
2022-10-31,revenue,Subscription Income,Project milestone payment,18240.8
2021-06-09,revenue,Service Revenue,,1592.91
2024-07-09,expense,Cost of Goods Sold (COGS),Monthly payroll,2654.93
2027-04-16,revenue,Product Sales,Monthly subscription charge,23057.77
2021-12-01,expense,Software & Subscriptions,AWS hosting bill,"$14,268.77"
2020-04-15,revenue,Subscription Income,License renewal,24861.81
2023-06-12,debit,Online / Digital Sales,Enterprise agreement,2579.5
26/01/2020,expense,Rent / Office Space,Software license renewal,12317.79
2025-12-21,revenue,Affiliate / Referral Revenue,Q1 client invoice,23379.17
23/03/2025,revenue,Product Sales,Annual subscription,5473.53
2025-05-15,expense,Rent / Office Space,Office rent payment,8533.59
2025-02-13,revenue,Affiliate / Referral Revenue,Online store order,4545.67
2025-04-23,revenue,Affiliate / Referral Revenue,Product bundle sale,4356.19
2023-08-06,expense,Cost of Goods Sold (COGS),Software license renewal,11725.01
2023-07-08,revenue,Subscription Income,License renewal,1800.79
2025-03-26,revenue,Other Revenue,Product bundle sale,16080.62
2025-10-21,expense,Cost of Goods Sold (COGS),Google Ads campaign,9807.74
2020-08-01,revenue,Consulting / Retainers,Enterprise agreement,19965.92
2026-04-26,revenue,Other Revenue,Wholesale shipment,17280.11
2022-07-07,REVENUE,Other Revenue,Annual subscription,3762.84
2023-10-29,revenue,Wholesale Revenue,Digital download sale,
2025-05-17,expense,Salaries & Wages,AWS hosting bill,(1061.06)
2025-11-07,revenue,Subscription Income,Consulting engagement,24189.6
2025-08-25,revenue,Product Sales,Digital download sale,"$18,684.73"
2025-12-20,revenue,Consulting / Retainers,Affiliate payout received,2020.65
2020-08-22,revenue,Other Revenue,Project milestone payment,15088.62
2022-04-28,Rev,Service Revenue,Service contract payment,7009.24
2025-02-11,expense,Cost of Goods Sold (COGS),,2421.96
2017-04-21,expense,Other Expense,Conference registration,9805.97
2025-07-15,revenue,Consulting / Retainers,License renewal,16322.01
2023-02-11,revenue,Product Sales,Online store order,21985.9
2020-06-27,revenue,Consulting / Retainers,Retainer fee,6484.65
2020-06-27,revenue,Consulting / Retainers,Retainer fee,6484.65
2020-02-20,expense,product sales,Software license renewal,13433.51
2021-08-17,credit,Other Revenue,Online store order,19238.31
19/06/2023,expense,Cost of Goods Sold (COGS),Office rent payment,7020.9
2023-03-12,expense,Rent / Office Space,Insurance premium,8905.43
2020-06-09,expense,Professional Services (Legal/Accounting),Software license renewal,TBD
2024-04-30,expense,Cost of Goods Sold (COGS),Monthly payroll,604.94
2022-10-25,expense,Software & Subscriptions,Utilities bill,3357.58
2024-08-09,revenue,Subscription Income,Monthly subscription charge,11784.84
2025-03-17,expense,Other Expense,Google Ads campaign,6679.39
2020-08-10,revenue,Affiliate / Referral Revenue,Referral commission,4756.89
2022-03-20,expense,,Insurance premium,14899.9
2025-06-01,revenue,Service Revenue,Product bundle sale,24227.27
2026-11-24,revenue,Affiliate / Referral Revenue,Product bundle sale,9391.05
2018-05-28,revenue,Online / Digital Sales,Q1 client invoice,1263.9
2018-05-28,revenue,Online / Digital Sales,Q1 client invoice,1263.9
2022-10-04,revenue,Other Revenue,Wholesale shipment,-5060.16
2025-12-19,revenue,Subscription Income,Annual subscription,22707.35
2022-08-25,debit,Product Sales,Online store order,10387.47
2025-02-27,revenue,Other Revenue,Enterprise agreement,6616.62
2023-07-04,revenue,Wholesale Revenue,  Monthly subscription charge  ,22655.39
2023-05-21,revenue,Product Sales,Affiliate payout received,7655.9
2020-03-05,Revenue,Wholesale Revenue,Product bundle sale,7197.8
2025-10-05,revenue,Service,Online store order,8560.63
2020-01-23,expense,Cost of Goods Sold (COGS),Equipment purchase,2380.38
2019-11-20,expense,Marketing & Advertising,Office supplies,1427.68
2023-02-18,revenue,Service Revenue,Consulting engagement,
2025-04-12,expense,Cost of Goods Sold (COGS),Google Ads campaign,14146.23
2024-11-14,revenue,Other Revenue,Online store order,11726.66
2026-08-14,revenue,Online / Digital Sales,Affiliate payout received,17354.05
2023-09-28,expense,Marketing & Advertising,AWS hosting bill,4631.05
2024-10-04,Costs,Subscription Income,Affiliate payout received,10300.68
2023-11-03,revenue,Other Revenue,Digital download sale,
2021-05-06,expense,Cost of Goods Sold (COGS),Office supplies,"$1,957.52"
2020-01-09,expense,Marketing & Advertising,Conference registration,4899.74
05/03/2024,revenue,Subscription Income,License renewal,2475.66
2022/02/05,expense,Cost of Goods Sold (COGS),Google Ads campaign,10281.1
2025-03-10,revenue,Online / Digital Sales,Enterprise agreement,16067.86
2021-12-07,expense,Software & Subscriptions,Software license renewal,6227.22
2025-05-18,revenue,Product Sales,Monthly subscription charge,"$3,576.88"
2022-01-13,expense,Salaries & Wages,  Legal retainer fee  ,11852.13
2020-12-06,revenue,Consulting / Retainers,Monthly subscription charge,13724.38
2023-02-28,EXPENSE,Marketing & Advertising,Insurance premium,5180.4
2022-12-29,revenue,Online / Digital Sales,Wholesale shipment,16512.26
2020-04-11,expense,Professional Services (Legal/Accounting),Insurance premium,$624.00
2021-06-11,expense,Service,Contractor payment,4409.86
2027-07-18,expense,Professional Services (Legal/Accounting),AWS hosting bill,11197.24
2025-11-09,revenue,Other Revenue,Referral commission,11918.85
2022-01-08,expense,Other Expense,  Conference registration  ,3794.72
2023-12-09,revenue,Affiliate / Referral Revenue,Annual subscription,13663.41
2021-09-05,REVENUE,Subscription Income,Enterprise agreement,20119.78
2021-12-31,revenue,Service Revenue,Referral commission,-23190.91
2024-01-07,expense,Professional Services (Legal/Accounting),Office rent payment,13580.29
2022-04-20,revenue,Online / Digital Sales,License renewal,N/A
2024-11-09,Rev,Salaries & Wages,Software license renewal,12509.06
2026-04-23,expense,Marketing & Advertising,Office rent payment,2540.25
2023-05-15,expense,Rent / Office Space,Utilities bill,11894.58
2024-09-14,expense,Rent / Office Space,Equipment purchase,6226.59
2024-12-21,expense,Rent / Office Space,AWS hosting bill,7611.48
2020-11-21,expense,Software & Subscriptions,Utilities bill,14016.7
2021-04-20,revenue,Consulting / Retainers,Monthly subscription charge,14219.85
2020-07-10,expense,Professional Services (Legal/Accounting),Monthly payroll,5884.29
2021-06-21,expense,Software & Subscriptions,Office rent payment,12122.48
2021-02-06,revenue,Product Sales,Consulting engagement,10873.1
2027-08-07,expense,Marketing & Advertising,Conference registration,3625.48
2024-08-17,expense,Marketing & Advertising,Office supplies,5298.11
2025-04-06,revenue,Service Revenue,Product bundle sale,8123.76
2023-08-18,Income,Other Expense,Insurance premium,13314.82
2022-06-07,REVENUE,Affiliate / Referral Revenue,Product bundle sale,12302.84
2023-07-16,expense,Marketing & Advertising,Monthly payroll,12270.41
2023-07-11,expense,Cost of Goods Sold (COGS),,6857.77
2018-10-06,revenue,Product Sales,Consulting engagement,7282.31
2023-11-18,expense,Salaries & Wages,Contractor payment,4708.65
2022-08-17,expense,Professional Services (Legal/Accounting),AWS hosting bill,-9365.03
2020-05-03,debit,Subscription Income,Annual subscription,9798.5
2024-06-15,expense,Salaries & Wages,Insurance premium,10067.15
2021-06-25,revenue,Product Sales,Digital download sale,
2025-01-19,Costs,Rent / Office Space,Conference registration,13970.62
2021-10-21,revenue,Affiliate / Referral Revenue,Product bundle sale,22931.49
21/10/2023,expense,Professional Services (Legal/Accounting),Travel & lodging,5341.88
2024-09-17,Costs,Cost of Goods Sold (COGS),Software license renewal,12118.85
2024-04-17,revenue,Consulting / Retainers,Consulting engagement,11168.63
2023-04-08,revenue,Other Revenue,Enterprise agreement,17406.02
2026-04-15,expense,Software & Subscriptions,Travel & lodging,11115.66
2020-09-30,revenue,Wholesale Revenue,Q1 client invoice,7235.38
2023-04-15,revenue,Affiliate / Referral Revenue,  License renewal  ,12217.1
2020-10-08,revenue,Online / Digital Sales,Retainer fee,23286.65
2022-09-01,Exp,Subscription Income,Consulting engagement,7460.27
2024-01-30,debit,Other Expense,Equipment purchase,7407.35
2021-08-04,revenue,Other Revenue,Online store order,983.62
2021-07-06,revenue,Wholesale Revenue,Consulting engagement,23261.51
2023-09-06,revenue,Other Revenue,Service contract payment,10026.84
2026-07-07,revenue,Subscription Income,Online store order,22295.3
2020-04-03,expense,Salaries & Wages,Google Ads campaign,N/A
2020-12-06,Rev,Online / Digital Sales,Service contract payment,21673.56
2022-11-16,revenue,Other Revenue,Enterprise agreement,23792.06
2025-10-24,expense,Rent / Office Space,Insurance premium,(9445.50)
2021-10-18,Exp,Service Revenue,Annual subscription,11521.92
2025-06-28,expense,Professional Services (Legal/Accounting),  Software license renewal  ,8619.7
2025-02-24,revenue,Subscription Income,Consulting engagement,16259.51
2019-05-22,expense,Marketing & Advertising,Printing & postage,8959.64
2022-07-25,expense,Rent / Office Space,Office rent payment,208.29
2023-01-02,revenue,Service Revenue,Online store order,2999.35
2017-03-01,revenue,Product Sales,Q1 client invoice,23347.21
2022-05-07,revenue,Affiliate / Referral Revenue,Wholesale shipment,24203.47
2023-11-29,revenue,Service Revenue,Consulting engagement,3272.2
2022-10-16,revenue,advertising,Wholesale shipment,1752.59
2021-05-09,expense,Salaries & Wages,Travel & lodging,11937.76
2022-11-07,revenue,Other Revenue,Online store order,16477.54
2024-01-11,Revenue,Product Sales,Affiliate payout received,7917.31
2024-11-22,EXPENSE,Other Expense,AWS hosting bill,10918.49
2022-01-18,expense,Professional Services (Legal/Accounting),,14462.22
2022-01-21,revenue,Service Revenue,Q1 client invoice,"$17,325.65"
2020-09-28,revenue,Subscription Income,Project milestone payment,(14242.30)
2024-09-25,revenue,Consulting / Retainers,Product bundle sale,11356.15
2025-03-27,revenue,Online / Digital Sales,Monthly subscription charge,7948.26
2021-10-23,revenue,Service Revenue,Online store order,7012.3
2022-10-27,expense,Professional Services (Legal/Accounting),Travel & lodging,-6272.31
2022-03-16,revenue,Consulting / Retainers,Service contract payment,8652.96
2025-03-18,revenue,Service Revenue,Service contract payment,(7709.44)
2023-05-03,revenue,Consulting,Consulting engagement,23579.98
2024-03-11,revenue,Online / Digital Sales,License renewal,
2021-02-06,expense,Rent / Office Space,Contractor payment,9403.87
2020-06-03,expense,Other Expense,Contractor payment,10712.57
2024-11-21,revenue,Subscription Income,Retainer fee,13370.0
2022-08-13,expense,Rent / Office Space,Office rent payment,7253.36
2020-06-16,expense,Other Expense,Equipment purchase,10958.96
07/04/2021,expense,Marketing & Advertising,Office rent payment,2971.43
2025-05-21,revenue,Affiliate / Referral Revenue,Project milestone payment,6920.07
2021-05-07,revenue,Affiliate / Referral Revenue,License renewal,1192.77
2023-02-17,expense,Other Expense,Accounting services,981.02
2020-06-28,expense,Professional Services (Legal/Accounting),Conference registration,2193.74
2024-10-31,revenue,Affiliate / Referral Revenue,Affiliate payout received,2173.23
2023-01-24,revenue,Product Sales,Referral commission,24872.04
2023-10-26,revenue,Consulting,Consulting engagement,5743.67
2023-11-28,expense,Software & Subscriptions,Insurance premium,9207.62
2021-03-29,expense,Other Expense,Software license renewal,3299.76
2024-05-29,revenue,Wholesale Revenue,Referral commission,-21443.2
2020-03-31,revenue,Product Sales,Enterprise agreement,1128.7
2020-05-20,expense,Software & Subscriptions,Accounting services,7100.88
2025-12-21,expense,Other Expense,Equipment purchase,3719.22
2025-02-09,expense,Professional Services (Legal/Accounting),Contractor payment,7422.72
2020-06-21,expense,Salaries & Wages,Utilities bill,1738.4
2021-10-13,expense,Marketing & Advertising,AWS hosting bill,
2023-08-31,expense,Professional Services (Legal/Accounting),Accounting services,"$4,275.29"
2025-11-28,revenue,Affiliate / Referral Revenue,Product bundle sale,17936.57
2023-09-12,expense,Rent / Office Space,Utilities bill,7594.35
2021-02-28,revenue,Subscription Income,Q1 client invoice,-11905.04
2025-01-24,credit,Professional Services (Legal/Accounting),Google Ads campaign,1728.25
2027-07-24,revenue,Affiliate / Referral Revenue,Wholesale shipment,6617.05
02/11/2022,expense,Marketing & Advertising,Contractor payment,7906.6
2020-07-20,revenue,Wholesale Revenue,Consulting engagement,"$24,574.86"
2020-03-30,revenue,Other Revenue,Project milestone payment,18550.24
2023-05-03,Revenue,Subscription Income,License renewal,11646.06
2025-05-07,revenue,Affiliate / Referral Revenue,  Q1 client invoice  ,9896.61
2022-10-17,expense,,Accounting services,12220.15
2026-01-27,expense,Other Expense,Office supplies,13021.26
2021-01-22,revenue,Product Sales,License renewal,
2024-05-01,revenue,Consulting / Retainers,Online store order,18517.58
2023-01-18,EXPENSE,Online / Digital Sales,Annual subscription,8477.78
2022-08-08,expense,Salaries & Wages,Office supplies,4794.84
2023-03-16,revenue,Consulting / Retainers,Annual subscription,"$18,377.65"
2026-07-07,revenue,Affiliate / Referral Revenue,Consulting engagement,8498.88
2021-01-15,expense,Professional Services (Legal/Accounting),Office rent payment,1211.15
2025-01-22,revenue,Subscription Income,Digital download sale,548.9
2021/01/26,expense,Rent / Office Space,Accounting services,14206.05
2025-03-10,revenue,Consulting / Retainers,Referral commission,-22464.87
2022-02-20,revenue,Other Revenue,Q1 client invoice,24664.14
2020-12-26,expense,Professional Services (Legal/Accounting),Legal retainer fee,6866.96
2021-11-07,revenue,Wholesale Revenue,,13569.96
2027-02-09,expense,Other Expense,Insurance premium,13603.09
2023-01-17,expense,Rent / Office Space,AWS hosting bill,13848.6
2025-09-05,revenue,Other Revenue,Referral commission,-2496.61
2023-04-12,revenue,Product Sales,Monthly subscription charge,-14747.82
2022-06-07,revenue,Consulting / Retainers,Monthly subscription charge,20585.71
2025-06-14,revenue,Service Revenue,Monthly subscription charge,15340.49
2023-09-19,expense,Software & Subscriptions,Google Ads campaign,14616.98
2024-10-03,revenue,Other Revenue,Enterprise agreement,
2020-11-04,revenue,Subscription Income,Service contract payment,935.22
2024-06-09,revenue,Affiliate / Referral Revenue,Product bundle sale,-20506.94
2022-02-18,Costs,Subscription Income,Referral commission,1598.34
2024-09-07,expense,Marketing & Advertising,Travel & lodging,2316.65
2023-11-10,revenue,Product Sales,Annual subscription,
2025-12-20,expense,Software & Subscriptions,AWS hosting bill,9560.93
2022-09-02,expense,Software & Subscriptions,Contractor payment,9609.58
2025-02-16,revenue,Affiliate / Referral Revenue,Monthly subscription charge,(21319.38)
2025-01-15,revenue,Product Sales,Retainer fee,5120.0
2024-07-11,revenue,Other Revenue,Enterprise agreement,12710.77
2022-07-21,revenue,Other Revenue,Affiliate payout received,TBD
2021-01-13,expense,,Utilities bill,11260.39
2023-11-02,expense,Other Expense,Utilities bill,(12161.72)
2020-03-29,revenue,,Annual subscription,18826.08
2025-05-11,expense,Software & Subscriptions,Utilities bill,12818.24
2022-12-15,expense,Salaries & Wages,,11604.67
2022-12-15,expense,Salaries & Wages,,11604.67
2023-09-05,revenue,Online / Digital Sales,Product bundle sale,3303.37
2025-03-22,revenue,Affiliate / Referral Revenue,Referral commission,1231.95
2025-03-10,revenue,Affiliate / Referral Revenue,Project milestone payment,11812.45
2020-10-23,expense,Rent / Office Space,Equipment purchase,
2022-03-12,revenue,Service Revenue,License renewal,18710.86
2026-05-26,revenue,Affiliate / Referral Revenue,Retainer fee,2499.49
2024-09-30,other,Other Expense,Utilities bill,638.2
2020-02-11,Costs,Subscription Income,Online store order,3530.84
2021-01-22,revenue,Online / Digital Sales,Affiliate payout received,2875.44
2021-09-11,expense,Rent / Office Space,Google Ads campaign,8261.14
2025-02-11,expense,Other Expense,Insurance premium,13940.1
2025-10-12,revenue,Subscription Income,Online store order,3400.33
2025-11-28,expense,Salaries & Wages,Office rent payment,8829.76
05/28/2020,expense,Salaries & Wages,Insurance premium,6931.64
2021-12-03,revenue,Subscription Income,Online store order,-20862.85
04/23/2023,expense,Rent / Office Space,Travel & lodging,13302.9
2027-10-01,expense,Cost of Goods Sold (COGS),Office supplies,11201.02
2020-04-20,revenue,Subscription Income,Q1 client invoice,5807.99
2021-01-26,revenue,Online / Digital Sales,  Digital download sale  ,12518.28
2022-01-07,expense,Professional Services (Legal/Accounting),Legal retainer fee,11229.7
2023-10-03,expense,Cost of Goods Sold (COGS),Software license renewal,-13950.97
2025-08-09,expense,Marketing & Advertising,Printing & postage,10935.13
2026-06-16,revenue,Consulting / Retainers,Monthly subscription charge,20480.83
2023-05-18,expense,Software & Subscriptions,Contractor payment,307.76
2024-11-08,expense,Software & Subscriptions,Office supplies,13456.73
2022-09-03,EXPENSE,Consulting / Retainers,Q1 client invoice,5181.43
2021-03-21,expense,Software & Subscriptions,Printing & postage,10612.26
13/01/2022,expense,Professional Services (Legal/Accounting),Utilities bill,4432.43
2024-05-19,EXPENSE,Cost of Goods Sold (COGS),Monthly payroll,11236.12
15/02/2022,expense,Professional Services (Legal/Accounting),Printing & postage,5329.94
2021-08-06,revenue,Wholesale Revenue,Product bundle sale,7472.42
2020-06-16,revenue,Online / Digital Sales,Product bundle sale,TBD
2023-08-20,debit,Other Expense,Software license renewal,3197.44
2021-12-25,revenue,Service Revenue,Retainer fee,22646.69
2022-02-17,revenue,Consulting / Retainers,Wholesale shipment,"$6,255.00"
2023-06-13,revenue,Software,Service contract payment,2838.52
2023-05-20,revenue,Service Revenue,Retainer fee,"$1,918.14"
2024-12-29,revenue,,Retainer fee,10918.71
2023-08-12,revenue,Product Sales,Retainer fee,9360.37
2022-02-03,expense,salaries,Printing & postage,13828.35
2023-08-09,expense,Cost of Goods Sold (COGS),Equipment purchase,3480.19
2015-01-15,revenue,Consulting / Retainers,Annual subscription,23262.36
2015-01-15,revenue,Consulting / Retainers,Annual subscription,23262.36
29/01/2023,revenue,Subscription Income,Digital download sale,13982.13
2018-10-29,expense,Marketing & Advertising,AWS hosting bill,1575.27
2015-08-11,expense,Salaries & Wages,Insurance premium,9530.53
2019-08-05,revenue,Subscription Income,Product bundle sale,9469.51
2021-09-16,expense,Professional Services (Legal/Accounting),Travel & lodging,(7894.98)
2026-05-06,expense,Professional Services (Legal/Accounting),Google Ads campaign,13920.38
2023-09-22,revenue,Consulting / Retainers,Online store order,(12624.13)
2025-11-16,expense,Other Expense,Travel & lodging,10154.44
2025-01-31,expense,Salaries & Wages,Office supplies,"$4,036.08"
2025-05-17,revenue,Service Revenue,Product bundle sale,24701.93
2023-02-22,revenue,Affiliate / Referral Revenue,Annual subscription,21978.57
2023-11-26,expense,Cost of Goods Sold (COGS),AWS hosting bill,5451.26
2025-07-31,revenue,Affiliate / Referral Revenue,Affiliate payout received,19220.67
2024-07-03,expense,Software & Subscriptions,Monthly payroll,7752.8
10/29/2021,revenue,Product Sales,Digital download sale,18199.98
2021-11-29,expense,Other Expense,Google Ads campaign,1471.36
2024-01-25,revenue,Product Sales,  Monthly subscription charge  ,1984.63
2022-03-12,revenue,salaries,License renewal,1751.43
2021-04-14,expense,marketing,Office rent payment,1328.35
2020-08-15,revenue,Online / Digital Sales,Monthly subscription charge,N/A
2021-05-22,revenue,Product Sales,Monthly subscription charge,19830.68
2024-01-01,revenue,marketing,Product bundle sale,13060.2
2022-04-25,revenue,rent,Wholesale shipment,6550.78
2025-03-04,debit,Salaries & Wages,Utilities bill,14026.27
2023-02-10,revenue,Service Revenue,License renewal,
2026-10-27,expense,Software & Subscriptions,Conference registration,3858.71
2020-10-26,expense,Software & Subscriptions,Conference registration,12462.41
2020-09-01,expense,Cost of Goods Sold (COGS),,9290.73
2022-09-26,revenue,Affiliate / Referral Revenue,Retainer fee,12928.33
2020-01-21,revenue,Affiliate / Referral Revenue,Retainer fee,23202.26
2022-07-28,other,Consulting / Retainers,Affiliate payout received,5795.48
2024-06-11,revenue,Wholesale Revenue,Monthly subscription charge,N/A
2023-09-01,expense,Software & Subscriptions,Insurance premium,"$9,396.59"
2024-07-21,expense,Professional Services (Legal/Accounting),Contractor payment,13171.79
2024-10-11,revenue,Consulting / Retainers,Product bundle sale,4148.1
2024-01-01,expense,,Printing & postage,4307.06
2024-12-15,expense,Wages,Contractor payment,5671.84
2025-05-19,revenue,Consulting / Retainers,Referral commission,19853.02
2025-08-17,revenue,Wholesale Revenue,Affiliate payout received,6039.76
2022-11-24,revenue,,Affiliate payout received,22209.76
2022-05-24,revenue,,Referral commission,6192.04
2024-07-07,revenue,Product Sales,Product bundle sale,TBD
2025-05-16,revenue,Service,Service contract payment,16410.46
2024-10-19,revenue,Service Revenue,Product bundle sale,5171.78
2015-03-22,expense,Professional Services (Legal/Accounting),Legal retainer fee,10286.17
2020-08-07,expense,Rent / Office Space,AWS hosting bill,71.11
2025-12-09,revenue,Consulting / Retainers,Retainer fee,17756.72
2023-05-31,expense,Cost of Goods Sold (COGS),AWS hosting bill,5810.66
2024-12-21,revenue,COGS,Q1 client invoice,24920.07
2025-06-13,revenue,Wholesale Revenue,Enterprise agreement,13891.34
2026-04-29,revenue,Wholesale Revenue,Annual subscription,18949.26
"Apr 21, 2025",revenue,Subscription Income,Consulting engagement,19464.55
2020-12-21,revenue,salaries,Q1 client invoice,2190.43
2024-03-18,revenue,Consulting / Retainers,License renewal,14971.95
2020-04-17,expense,Rent / Office Space,Accounting services,-9297.67
2024-07-01,expense,Other Expense,Office supplies,"$9,712.30"
2020-08-20,expense,Software & Subscriptions,Legal retainer fee,7986.91
2022-04-13,expense,Marketing & Advertising,Equipment purchase,9933.08
2020-03-07,expense,Marketing & Advertising,Accounting services,8168.18
2023-08-02,credit,Service Revenue,Q1 client invoice,1306.4
2025-09-22,revenue,Wholesale Revenue,Product bundle sale,8756.88
2020-04-21,expense,Rent / Office Space,Conference registration,(4146.54)
2024-10-17,revenue,Affiliate / Referral Revenue,Enterprise agreement,14447.05
2025-07-31,expense,Marketing & Advertising,Google Ads campaign,4241.82
2021-09-29,revenue,Consulting / Retainers,,10939.09
2021-09-25,revenue,Online / Digital Sales,Q1 client invoice,1219.61
2024-03-29,expense,Professional Services (Legal/Accounting),Monthly payroll,"$12,755.66"
2020-02-28,revenue,Wholesale Revenue,Wholesale shipment,-859.95
2020-06-27,expense,Marketing & Advertising,Travel & lodging,13637.47
2026-11-14,revenue,Consulting / Retainers,Monthly subscription charge,4995.94
2020-06-30,revenue,COGS,Affiliate payout received,20237.73
2026-10-06,expense,Rent / Office Space,Office supplies,11432.96
2020-06-05,revenue,Other Revenue,Enterprise agreement,19529.72
2025-04-28,expense,Software & Subscriptions,Conference registration,N/A
2025-01-12,expense,Software,Utilities bill,13631.65
2025-07-10,expense,Cost of Goods Sold (COGS),Accounting services,11375.13
2025-01-04,expense,Salaries & Wages,Printing & postage,"$6,484.85"
2023-06-22,expense,Marketing & Advertising,Printing & postage,12183.98
2021-07-10,Income,Software & Subscriptions,Contractor payment,2862.31
2022-06-02,Revenue,Wholesale Revenue,Product bundle sale,20665.15
2020-05-06,expense,Marketing & Advertising,Google Ads campaign,6573.12
2025-04-17,revenue,Online / Digital Sales,Retainer fee,6891.29
2020-06-19,revenue,Software,Service contract payment,3950.6
2022-09-10,expense,Salaries & Wages,Travel & lodging,TBD
2023-04-01,expense,Salaries & Wages,,10028.48
2024-04-19,revenue,Other Revenue,,8470.71
